127.0.0.1 - - [26/Sep/2023:23:14:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:14:50 +0530] "GET /TechBlog/ HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:14:51 +0530] "GET /TechBlog/css/mycss.css HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:14:51 +0530] "GET /TechBlog/js/myjs.js HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:14:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:15:25 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:15:58 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:15:58 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:00 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13368
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:01 +0530] "GET /TechBlog/img/sample.jpeg HTTP/1.1" 200 91905
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:01 +0530] "GET /TechBlog/pics/default.png HTTP/1.1" 200 5661
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:05 +0530] "GET /TechBlog/load_post.jsp?cid=0 HTTP/1.1" 200 8568
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:05 +0530] "GET /TechBlog/blog_pics/sample2.jpeg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:05 +0530] "GET /TechBlog/blog_pics/Exc.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:05 +0530] "GET /TechBlog/blog_pics/error.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:05 +0530] "GET /TechBlog/blog_pics/sample.jpeg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:46 +0530] "GET /TechBlog/load_post.jsp?cid=1 HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:46 +0530] "GET /TechBlog/blog_pics/sample.jpeg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:46 +0530] "GET /TechBlog/blog_pics/sample2.jpeg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:46 +0530] "GET /TechBlog/blog_pics/error.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:56 +0530] "GET /TechBlog/load_post.jsp?cid=3 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:59 +0530] "GET /TechBlog/load_post.jsp?cid=2 HTTP/1.1" 200 4626
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:59 +0530] "GET /TechBlog/blog_pics/Exc.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Sep/2023:23:16:59 +0530] "GET /TechBlog/blog_pics/sample.jpeg HTTP/1.1" 404 789
